date,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint
1/3/2016 0:00,70,20,21.79,35.09,19.39,37.12666667,21.16666667,35.09,21.85666667,33.7,19,40.7,-2.066666667,68.43333333,20.2,27.53333333,22.5,39.06333333,18.29,38.86333333,-1,763.6,92,1,62,-2.1
1/3/2016 0:10,60,20,21.76,35.29,19.32333333,37.2,21.1,35.16333333,21.79,33.76,19,40.7,-2.126666667,69.03333333,20.2,27.6,22.39,39.43333333,18.29,38.9,-1.116666667,763.55,92.66666667,1,60,-2.116666667
1/3/2016 0:20,60,20,21.7,35.43,19.29,37.29,21.1,35.29,21.76,33.9,18.92666667,40.59,-2.09,69.69,20.2,27.73,22.39,39.5,18.29,38.9,-1.233333333,763.5,93.33333333,1,58,-2.133333333
1/3/2016 0:30,60,30,21.66666667,35.43,19.23,37.29,21.1,35.29,21.7,33.96666667,19,40.59,-2.1175,69.57,20.2,27.85666667,22.29,39.59,18.29,39,-1.35,763.45,94,1,56,-2.15
1/3/2016 0:40,60,20,21.6,35.29,19.2,37.32666667,21.1,35.32666667,21.66666667,34.06,18.96333333,40.59,-2.2,70.06333333,20.2,27.92666667,22.29,39.59,18.29,38.93333333,-1.466666667,763.4,94.66666667,1,54,-2.166666667
1/3/2016 0:50,60,20,21.6,35.4,19.13333333,37.4,21.1,35.32666667,21.6,34.06,18.89,40.53,-2.2,69.89333333,20.13333333,28,22.2,39.59,18.29,38.86333333,-1.583333333,763.35,95.33333333,1,52,-2.183333333
1/3/2016 1:00,50,20,21.53333333,35.32666667,19.06666667,37.5,21,35.29,21.55,34.2,18.89,40.5,-2.26,69.96,20.1,28.1,22.2,39.59,18.29,38.79,-1.7,763.3,96,1,50,-2.2
1/3/2016 1:10,60,30,21.5,35.4,19,37.5,21,35.26,21.5,34.23,18.82333333,40.43333333,-2.566666667,68.79666667,20.1,28.16666667,22.1,39.73,18.29,38.86333333,-1.833333333,763.25,96,1,47.5,-2.35
1/3/2016 1:20,60,20,21.42666667,35.32666667,18.89,37.59,21,35.2,21.5,34.29,18.79,40.29,-2.833333333,68.65666667,20.1,28.2,22.03333333,39.86333333,18.29,38.86333333,-1.966666667,763.2,96,1,45,-2.5
1/3/2016 1:30,60,10,21.39,35.83,18.79,37.53,21,35.23,21.39,34.12666667,18.79,40.29,-3.03,68.62333333,20.03333333,28.2,22.06666667,40.23,18.29,38.76,-2.1,763.15,96,1,42.5,-2.65
